Date,Global_Factor_filtered,Facilitating_filtered,Other_filtered,Restrictive_filtered,Remaining_others_filtered,G20_filtered,Non_G20_filtered,GDP_weighted_filtered
Mar 2014,-0.711141660821615,-0.704845600460305,-0.794262430401982,-1.25027860441865,-0.702810567103696,-0.654228729208035,-0.525242175706314,0.124653848893486
Apr 2014,-0.884978693199674,-0.47881743264065,-1.36971416535674,-1.68200545596129,-0.971841921173943,-1.03453256356506,-0.623651323086763,-0.507949934912808
May 2014,-1.31969312728312,-0.56318425172798,-1.79842562879031,-1.91867418007104,-1.2778758863303,-1.44626737114919,-0.976406964157452,-0.844795550088027
Jun 2014,-1.08730134810288,-0.656019072402581,-1.36406195630568,-1.4428995032811,-1.03269577749008,-1.26931428030225,-0.92234580691168,-0.676990346281565
Jul 2014,-0.967267731002188,-0.776302552344174,-1.00549820827254,-0.991293269614869,-1.00146752202483,-0.853340109954194,-1.1377751248444,-0.30732294952315
Aug 2014,-0.758920391334941,-0.808865331583182,-0.693648820052811,-0.61728493752285,-0.872108024339364,-0.72866225249554,-0.941852847129327,-0.479693370725575
Sep 2014,-0.654140527487631,-0.808793228548453,-0.692445399884081,-0.512714167494235,-0.982652893920895,-0.606634751926178,-0.907391155544214,-0.490242648934515
Oct 2014,-0.829773108602217,-0.976224033857169,-0.747430764709691,-0.609973717663873,-0.976281607004625,-0.732319262657919,-0.850603871942734,-0.500572312497102
Nov 2014,-0.812158698852497,-0.796085532264558,-0.982715007659959,-0.946285379070097,-1.07528448380891,-0.600174173524339,-0.869758837204138,-0.413440934780529
Dec 2014,-0.825615948630023,-0.683149364461882,-0.989684474335823,-1.02756578187073,-1.03580730433724,-0.632134415538044,-0.565133954241356,-0.596858940856369
Jan 2015,-0.577688081527538,-0.5702299921699,-0.730798734186743,-0.852952967914537,-0.754617903330007,-0.603069734005406,-0.155404263876079,-0.79608571434413
Feb 2015,-0.356708499849129,-0.589094674499105,-0.181481018054894,-0.212673027466212,-0.458673185790045,-0.741120502445581,0.183045465912048,-0.930626361127544
Mar 2015,-0.0991188653449437,-0.338433092688258,0.0728647509391894,0.0734513819092957,-0.182816627410045,-0.544198211335652,0.184553397966706,-0.941022199107339
